timestamp,value
"20250510_165918","11170.909090909088"
"20250510_165924","11165.873469320246"
"20250510_165930","11161.685338023644"
"20250510_165935","NaN"
"20250510_165941","11361.298128597791"
"20250510_165947","11327.979533934342"
"20250510_165953","11328.21575409742"
"20250510_165958","11324.235294117647"
"20250510_170004","11318.180667870358"
"20250510_170010","11316.434742850875"
"20250510_170015","11327.928439291163"
"20250510_170021","11328.072209676928"
"20250510_170027","11321.106919712882"
"20250510_170033","NaN"
"20250510_170038","NaN"
"20250510_170044","NaN"
"20250510_170050","NaN"
"20250510_170056","NaN"
"20250510_170101","NaN"
"20250510_170107","NaN"
"20250510_170113","NaN"
"20250510_170119","NaN"
