timestamp,value
"20250510_165918","42942464"
"20250510_165930","13766656"
"20250510_165935","13766656"
"20250510_165941","42106880"
"20250510_165947","42106880"
"20250510_165953","42139648"
"20250510_165958","42139648"
"20250510_170004","42139648"
"20250510_170010","42139648"
"20250510_170015","42139648"
"20250510_170021","42139648"
"20250510_170027","42139648"
"20250510_170033","42139648"
"20250510_170038","42139648"
"20250510_170044","42139648"
"20250510_170050","42139648"
"20250510_170056","42139648"
"20250510_170101","42139648"
"20250510_170107","42139648"
"20250510_170113","42139648"
"20250510_170119","42139648"
