timestamp,value
"20250510_172114","0"
"20250510_172120","0"
"20250510_172125","0"
"20250510_172131","0.3333333333333333"
"20250510_172137","1"
"20250510_172143","1"
"20250510_172148","1"
"20250510_172154","1"
"20250510_172200","1"
"20250510_172206","1"
"20250510_172212","1"
"20250510_172217","1"
"20250510_172223","1"
"20250510_172229","1"
"20250510_172235","1"
"20250510_172241","1"
"20250510_172246","0.6666666666666666"
"20250510_172252","0.6666666666666666"
"20250510_172258","0.8333333333333334"
"20250510_172304","1"
"20250510_172310","1"
