timestamp,value
"20250510_184114","69.89440948857927"
"20250510_184120","105.75043953592409"
"20250510_184126","111.93139371561827"
"20250510_184132","13801450.092483057"
"20250510_184138","15800484.348300876"
"20250510_184144","50542914.03805281"
"20250510_184150","90385062.34834866"
"20250510_184155","90930116.82918882"
"20250510_184201","150327824.4288032"
"20250510_184207","167763027.22193098"
"20250510_184213","201767426.2619183"
"20250510_184219","224214314.05044785"
"20250510_184225","240210361.58975562"
"20250510_184231","237803301.90919602"
"20250510_184237","201999255.57067314"
"20250510_184243","168415951.7229743"
"20250510_184249","239769711.3028985"
