timestamp,value
"20250511_152629","29769031.28501373"
"20250511_152636","25154802.985862985"
"20250511_152643","28254405.200733438"
"20250511_152650","33068603.943405703"
"20250511_152657","32629805.847707454"
"20250511_152705","29812708.868657026"
"20250511_152713","30270795.37665652"
"20250511_152720","30610047.523035992"
"20250511_152727","26944030.229382005"
"20250511_152734","30767902.34369184"
"20250511_152742","30704610.11401393"
"20250511_152748","29138840.275153894"
"20250511_152755","29886429.351879645"
"20250511_152802","33605535.294832915"
"20250511_152809","32429351.133389432"
"20250511_152816","29478947.93424423"
