timestamp,value
"20250511_153646","271933440"
"20250511_153646","273285120"
"20250511_153654","272064512"
"20250511_153654","271224832"
"20250511_153701","269750272"
"20250511_153701","271224832"
"20250511_153708","272211968"
"20250511_153708","271224832"
"20250511_153715","270827520"
"20250511_153715","271224832"
"20250511_153722","272044032"
"20250511_153722","271224832"
"20250511_153728","271822848"
"20250511_153728","272007168"
"20250511_153734","269881344"
"20250511_153734","272007168"
"20250511_153741","271790080"
"20250511_153741","272007168"
"20250511_153747","271716352"
"20250511_153747","272007168"
"20250511_153753","271630336"
"20250511_153753","272007168"
"20250511_153759","270000128"
"20250511_153759","271794176"
"20250511_153805","270647296"
"20250511_153805","271794176"
"20250511_153811","272318464"
"20250511_153811","271794176"
"20250511_153818","272039936"
"20250511_153818","271794176"
"20250511_153824","272318464"
"20250511_153824","272650240"
