timestamp,value
"20250511_153646","101592008.4610945"
"20250511_153654","94893865.04922062"
"20250511_153701","105105630.31712073"
"20250511_153708","86341692.71198556"
"20250511_153715","108224242.80657704"
"20250511_153722","105037741.81192371"
"20250511_153728","80678020.4524525"
"20250511_153734","94545141.95137191"
"20250511_153741","88529029.978116"
"20250511_153747","80947558.3109171"
"20250511_153753","52361057.6832214"
"20250511_153759","56165090.39166776"
"20250511_153805","45149113.79567873"
"20250511_153811","46658570.03565533"
"20250511_153818","579977.005532897"
"20250511_153824","497964.8690664183"
