timestamp,value
"20250511_155134","6"
"20250511_155140","6"
"20250511_155146","6"
"20250511_155151","6"
"20250511_155158","6"
"20250511_155204","6"
"20250511_155210","6"
"20250511_155216","6"
"20250511_155222","6"
"20250511_155228","6"
"20250511_155234","6"
"20250511_155241","6"
"20250511_155247","6"
"20250511_155253","6"
"20250511_155259","6"
"20250511_155305","6"
"20250511_155311","6"
"20250511_155317","6"
"20250511_155324","6"
"20250511_155330","6"
"20250511_155336","6"
"20250511_155342","6"
"20250511_155348","6"
"20250511_155355","6"
"20250511_155401","6"
