timestamp,value
"20250511_155407","154903980.38308758"
"20250511_155414","201292316.9273072"
"20250511_155420","196318536.8400205"
"20250511_155427","177492072.3352623"
"20250511_155434","142126908.26310164"
"20250511_155440","140394860.2617349"
"20250511_155447","93626167.652836"
"20250511_155453","98899201.47284305"
"20250511_155500","67412987.12796672"
"20250511_155506","61410292.96805194"
"20250511_155512","77551395.4533356"
"20250511_155520","75612424.9011257"
"20250511_155526","79014084.78262608"
"20250511_155533","63921140.87441668"
"20250511_155541","76003062.3660636"
"20250511_155547","67609686.71876082"
"20250511_155554","53818632.38745956"
"20250511_155600","44900580.96575205"
"20250511_155607","35276314.69139461"
"20250511_155614","35136588.32090116"
"20250511_155620","27394183.90041652"
"20250511_155626","13998009.99004756"
