timestamp,value
"20250511_165841","9460921.777179487"
"20250511_165847","12558213.540634295"
"20250511_165853","16266660.8862753"
"20250511_165900","19874880.468729194"
"20250511_165906","22764047.963514242"
"20250511_165912","26862183.03730909"
"20250511_165918","25075627.616091836"
"20250511_165924","24746264.819909617"
"20250511_165931","32619173.163179845"
"20250511_165937","32092570.853709098"
"20250511_165943","27517664.15542934"
"20250511_165949","23872844.81426041"
"20250511_165956","29452264.533147763"
"20250511_170002","30745178.45893723"
"20250511_170008","29554673.027931996"
"20250511_170014","27745048.003958482"
"20250511_170020","31302790.005287215"
"20250511_170027","32399163.720467184"
"20250511_170033","28715781.977439545"
"20250511_170039","32375043.347212005"
"20250511_170046","26721959.523996852"
"20250511_170052","29108589.509750146"
"20250511_170059","28203419.04671298"
"20250511_170105","27996497.56676511"
"20250511_170112","28330248.015234157"
"20250511_170118","20572330.912971247"
"20250511_170125","24385958.395660337"
"20250511_170131","31179723.868626308"
"20250511_170137","28197609.482960153"
"20250511_170143","30804961.35204214"
"20250511_170150","28403741.478325874"
"20250511_170156","28112165.232221823"
"20250511_170203","27451837.42085676"
"20250511_170209","27482959.85266717"
"20250511_170216","21854408.242087085"
"20250511_170222","27886852.942929454"
"20250511_170229","23404789.75310687"
"20250511_170235","25623737.6458176"
"20250511_170242","31313647.132179413"
"20250511_170248","27404328.406744286"
"20250511_170254","26042859.741297096"
"20250511_170300","28579198.055195145"
"20250511_170307","27857365.962580882"
"20250511_170313","28581078.741454404"
"20250511_170319","24099294.73718833"
"20250511_170326","24564997.867734186"
"20250511_170332","29345988.402336773"
"20250511_170338","29368841.747959446"
"20250511_170345","28284366.495936267"
"20250511_170351","29428858.023163833"
"20250511_170357","25637060.519276857"
"20250511_170404","28713966.38447249"
"20250511_170410","28975526.37885415"
"20250511_170417","24536650.84359476"
"20250511_170423","28730818.92432383"
"20250511_170429","24973125.312199343"
"20250511_170436","28310900.433530524"
"20250511_170442","26964289.436128795"
"20250511_170448","31776079.439503763"
"20250511_170455","32028101.627834003"
"20250511_170501","28970362.032270443"
"20250511_170507","24420751.45267985"
"20250511_170513","25582812.16510453"
"20250511_170520","28916710.851577546"
"20250511_170526","24407008.019773304"
"20250511_170532","28410111.31826552"
"20250511_170539","22768820.130759887"
"20250511_170545","28714887.62223634"
"20250511_170551","31033585.493321788"
"20250511_170558","30417278.641811207"
"20250511_170604","24216483.138919666"
"20250511_170610","27974489.86981646"
"20250511_170617","27877287.676210552"
"20250511_170623","28188857.857564896"
"20250511_170630","28021670.14268689"
"20250511_170636","27894901.960209243"
"20250511_170642","26292831.413589746"
"20250511_170648","21755828.071148854"
"20250511_170655","30556266.096588846"
"20250511_170701","31482994.38470639"
"20250511_170707","26660548.34348947"
"20250511_170714","28060452.035105664"
"20250511_170720","27824455.868419863"
"20250511_170726","24631994.265686225"
"20250511_170733","24408714.274554882"
"20250511_170739","27215465.43151709"
"20250511_170745","28428972.050484035"
"20250511_170752","29093304.31069192"
"20250511_170758","31622380.311626833"
"20250511_170804","32429262.32489056"
"20250511_170811","32500061.45233806"
"20250511_170817","25153535.42261525"
"20250511_170823","29303386.81489714"
"20250511_170829","25654613.46300855"
"20250511_170836","29131447.16585571"
"20250511_170842","28624739.015730422"
"20250511_170848","28200163.385076147"
"20250511_170855","28088814.046566524"
"20250511_170901","28564191.85907534"
"20250511_170907","24963408.799731165"
"20250511_170914","30684955.20371016"
"20250511_170920","30575773.61869409"
"20250511_170926","21090729.829760343"
"20250511_170933","28126023.215642598"
"20250511_170939","24607174.7131648"
"20250511_170945","25005622.64568522"
"20250511_170952","28832168.661836766"
"20250511_170958","25393200.75635585"
"20250511_171004","28711632.748835526"
"20250511_171011","26580230.990102287"
"20250511_171017","27530504.71603402"
"20250511_171023","31532191.575972795"
"20250511_171030","28633225.751091763"
"20250511_171036","27422907.11119898"
"20250511_171042","28214052.988491494"
"20250511_171048","23771615.088783864"
"20250511_171055","27395684.56047296"
"20250511_171101","28196136.426479243"
"20250511_171107","27310274.89930481"
"20250511_171114","26133778.52404566"
"20250511_171120","30436636.496665355"
"20250511_171126","25804882.600094024"
"20250511_171133","27896807.763223942"
"20250511_171139","22727834.291635063"
"20250511_171145","22648357.60769849"
"20250511_171151","25033269.291344963"
"20250511_171158","21735004.72886474"
"20250511_171204","24383820.76200578"
"20250511_171211","28071156.629778307"
"20250511_171218","29400062.20116425"
"20250511_171224","30295440.656120688"
"20250511_171230","30281606.19366047"
"20250511_171236","29608116.189713947"
"20250511_171243","27338315.84358189"
"20250511_171249","27301001.62688033"
"20250511_171255","22024113.90238134"
"20250511_171301","28569116.026658747"
"20250511_171308","22718684.390159693"
"20250511_171314","28462800.425610766"
"20250511_171320","29561020.32282281"
"20250511_171327","29163010.54448442"
"20250511_171333","31457614.9524444"
"20250511_171339","26584991.310838427"
"20250511_171345","28133762.02732346"
"20250511_171351","28888913.48476873"
"20250511_171358","24780811.756435107"
"20250511_171404","28221341.205241162"
"20250511_171411","28742127.571693473"
"20250511_171417","28312049.589048836"
"20250511_171423","28835145.59164754"
"20250511_171430","31760006.32668831"
"20250511_171436","22904182.64374585"
"20250511_171442","28979053.11366531"
"20250511_171448","26101362.403762095"
"20250511_171454","28574124.361575395"
"20250511_171501","29024146.395042032"
"20250511_171507","27949653.221478425"
"20250511_171514","28914035.916061904"
"20250511_171520","29349142.72120827"
"20250511_171526","24725456.781248193"
"20250511_171533","28929315.591723178"
"20250511_171539","32280049.848400462"
"20250511_171545","28979323.91915983"
"20250511_171551","31272682.52710107"
"20250511_171558","26019622.565575328"
"20250511_171604","29071303.69323644"
"20250511_171611","29133876.16713998"
"20250511_171617","21804041.147839993"
"20250511_171623","28997647.096527297"
"20250511_171629","29064202.262268256"
"20250511_171636","29104687.071782175"
"20250511_171642","29884658.363890193"
"20250511_171648","26775724.32860425"
"20250511_171654","27881777.838230193"
"20250511_171701","28955517.568260122"
"20250511_171707","24537463.046239685"
"20250511_171713","28547626.866092574"
"20250511_171719","23657259.575691357"
"20250511_171726","27718055.538225546"
"20250511_171732","29337565.700953174"
"20250511_171738","28090213.23171377"
"20250511_171745","25249414.347000435"
"20250511_171751","32484925.265899085"
"20250511_171757","27375070.140910376"
"20250511_171803","28994599.38435231"
"20250511_171810","29151196.26165547"
"20250511_171816","29039821.781304814"
