timestamp,value
"20250511_165841","0"
"20250511_165841","0"
"20250511_165841","0"
"20250511_165841","3093810.681824754"
"20250511_165841","0"
"20250511_165847","0"
"20250511_165847","0"
"20250511_165847","0"
"20250511_165847","2514295.466666667"
"20250511_165847","0"
"20250511_165853","2422647.466666667"
"20250511_165853","0"
"20250511_165853","0"
"20250511_165853","5189072.598030558"
"20250511_165853","0"
"20250511_165900","4091596.8000000003"
"20250511_165900","0"
"20250511_165900","0"
"20250511_165900","5553525.223683976"
"20250511_165900","0"
"20250511_165906","4091596.8000000003"
"20250511_165906","0"
"20250511_165906","0"
"20250511_165906","5577011.2"
"20250511_165906","0"
"20250511_165912","5232781.001455214"
"20250511_165912","0"
"20250511_165912","0"
"20250511_165912","6156353.101659889"
"20250511_165912","0"
"20250511_165918","5064931.555555556"
"20250511_165918","0"
"20250511_165918","0"
"20250511_165918","6964629.984612141"
"20250511_165918","0"
"20250511_165924","5634304.000000001"
"20250511_165924","0"
"20250511_165924","0"
"20250511_165924","7583903.082825432"
"20250511_165924","0"
"20250511_165931","6747755.597550441"
"20250511_165931","0"
"20250511_165931","0"
"20250511_165931","6419397.517013428"
"20250511_165931","0"
"20250511_165937","6099831.300698688"
"20250511_165937","0"
"20250511_165937","0"
"20250511_165937","4789264.141084666"
"20250511_165937","0"
"20250511_165943","4949640.20797227"
"20250511_165943","0"
"20250511_165943","0"
"20250511_165943","5100834.910735246"
"20250511_165943","0"
"20250511_165949","4897782.704746103"
"20250511_165949","0"
"20250511_165949","0"
"20250511_165949","4911420.830999736"
"20250511_165949","0"
"20250511_165956","4939823.138551318"
"20250511_165956","0"
"20250511_165956","0"
"20250511_165956","3786751.999999999"
"20250511_165956","0"
"20250511_170002","4968327.721751784"
"20250511_170002","0"
"20250511_170002","0"
"20250511_170002","4555277.780498004"
"20250511_170002","0"
"20250511_170008","4247300.086189886"
"20250511_170008","0"
"20250511_170008","0"
"20250511_170008","4034910.507356016"
"20250511_170008","0"
"20250511_170014","3412325.583808101"
"20250511_170014","0"
"20250511_170014","0"
"20250511_170014","5193137.510051903"
"20250511_170014","0"
"20250511_170020","14269193.712327149"
"20250511_170020","0"
"20250511_170020","0"
"20250511_170020","11507941.304393724"
"20250511_170020","0"
"20250511_170027","14269193.712327149"
"20250511_170027","0"
"20250511_170027","0"
"20250511_170027","10190531.363768905"
"20250511_170027","0"
"20250511_170033","31028003.025357276"
"20250511_170033","0"
"20250511_170033","0"
"20250511_170033","25004604.70925241"
"20250511_170033","0"
"20250511_170039","53291758.98705515"
"20250511_170039","0"
"20250511_170039","0"
"20250511_170039","52814476.40835001"
"20250511_170039","0"
"20250511_170039","0"
"20250511_170046","58016349.321011335"
"20250511_170046","0"
"20250511_170046","0"
"20250511_170046","60076512.162296444"
"20250511_170046","0"
"20250511_170046","0"
"20250511_170052","76735153.84763855"
"20250511_170052","0"
"20250511_170052","0"
"20250511_170052","80615509.92388433"
"20250511_170052","0"
"20250511_170052","0"
"20250511_170059","79910969.79548472"
"20250511_170059","0"
"20250511_170059","0"
"20250511_170059","76610790.39999999"
"20250511_170059","0"
"20250511_170059","0"
"20250511_170105","108086838.39753066"
"20250511_170105","0"
"20250511_170105","0"
"20250511_170105","90404198.3863248"
"20250511_170105","0"
"20250511_170105","0"
"20250511_170112","127351382.63985772"
"20250511_170112","0"
"20250511_170112","0"
"20250511_170112","119904411.50242326"
"20250511_170112","0"
"20250511_170112","0"
"20250511_170118","132576477.66920449"
"20250511_170118","0"
"20250511_170118","0"
"20250511_170118","103597431.7151127"
"20250511_170118","0"
"20250511_170118","0"
"20250511_170125","134101913.30187733"
"20250511_170125","0"
"20250511_170125","0"
"20250511_170125","116995212.70954975"
"20250511_170125","0"
"20250511_170125","0"
"20250511_170131","127146306.26345465"
"20250511_170131","0"
"20250511_170131","0"
"20250511_170131","126441377.13534823"
"20250511_170131","0"
"20250511_170131","0"
"20250511_170137","127146306.26345465"
"20250511_170137","0"
"20250511_170137","0"
"20250511_170137","126441377.13534823"
"20250511_170137","0"
"20250511_170137","0"
"20250511_170143","116406597.16919445"
"20250511_170143","0"
"20250511_170143","0"
"20250511_170143","114225320.76172401"
"20250511_170143","0"
"20250511_170143","0"
"20250511_170150","110517324.04902491"
"20250511_170150","0"
"20250511_170150","0"
"20250511_170150","115952805.77355365"
"20250511_170150","0"
"20250511_170150","0"
"20250511_170156","90874527.45917146"
"20250511_170156","0"
"20250511_170156","0"
"20250511_170156","107468012.59959236"
"20250511_170156","0"
"20250511_170156","0"
"20250511_170203","91413458.08966862"
"20250511_170203","0"
"20250511_170203","0"
"20250511_170203","68993170.71320686"
"20250511_170203","0"
"20250511_170203","0"
"20250511_170209","84525499.92980486"
"20250511_170209","0"
"20250511_170209","0"
"20250511_170209","83374404.12219359"
"20250511_170209","0"
"20250511_170209","0"
"20250511_170216","84525499.92980486"
"20250511_170216","0"
"20250511_170216","0"
"20250511_170216","70129268.36866152"
"20250511_170216","0"
"20250511_170216","0"
"20250511_170222","76822603.67496282"
"20250511_170222","0"
"20250511_170222","0"
"20250511_170222","75828337.95399985"
"20250511_170222","0"
"20250511_170222","0"
"20250511_170229","71200893.21509059"
"20250511_170229","0"
"20250511_170229","0"
