timestamp,value
"20250511_171826","173434.86942040685"
"20250511_171833","179337.2909205726"
"20250511_171840","203449.49971893878"
"20250511_171848","188706.7684445677"
"20250511_171856","217974.86685834127"
"20250511_171903","217714.66029581855"
"20250511_171910","195996.54391766523"
"20250511_171918","168566.61789100108"
"20250511_171925","172100.3352177338"
"20250511_171932","189674.73024426156"
"20250511_171940","189511.3406747518"
"20250511_171947","171758.33227907954"
"20250511_171954","192066.34023009965"
"20250511_172002","210788.8272897978"
"20250511_172009","177096.173989748"
"20250511_172016","172569.9255481455"
"20250511_172024","176991.88619527803"
"20250511_172030","190010.29446294665"
"20250511_172039","166418.3789320152"
"20250511_172046","167938.93158605657"
"20250511_172053","183969.12697076274"
"20250511_172101","200631.7266690967"
"20250511_172108","177068.34938086185"
"20250511_172115","198421.42248463604"
"20250511_172123","172226.81939668738"
"20250511_172131","190280.3338552623"
"20250511_172138","170245.19698841556"
"20250511_172146","161987.88568022134"
"20250511_172153","148475.19867238298"
"20250511_172200","176212.59734117772"
"20250511_172207","173263.8225607722"
"20250511_172215","189194.61255157355"
"20250511_172222","193062.84138272423"
"20250511_172229","173684.80817505237"
"20250511_172236","184646.15445355492"
"20250511_172243","183298.13321393466"
"20250511_172250","161305.8988306118"
"20250511_172258","151694.26344682122"
"20250511_172305","168310.59540986817"
"20250511_172312","217483.6783892673"
"20250511_172319","218008.5631109266"
"20250511_172325","193067.32433188954"
"20250511_172333","195324.10717736802"
"20250511_172340","177006.10882713032"
"20250511_172347","157154.29166508885"
"20250511_172355","161546.58183301572"
"20250511_172402","189559.9644580557"
"20250511_172411","181535.40132304333"
"20250511_172419","213164.99384816512"
"20250511_172427","199064.14001110784"
"20250511_172433","180482.0299897769"
"20250511_172441","187693.4220293572"
"20250511_172448","149476.2708250872"
"20250511_172456","176325.68510662645"
"20250511_172503","179726.26024241743"
"20250511_172512","193804.49905734605"
"20250511_172519","166233.18664035783"
"20250511_172526","182095.30799942787"
"20250511_172533","169923.4406335657"
"20250511_172541","184374.84498812427"
"20250511_172548","166161.68559068805"
"20250511_172555","183975.26234827784"
"20250511_172602","193942.8991094086"
"20250511_172610","184435.72903485567"
"20250511_172617","171770.92489878729"
"20250511_172625","191763.84237857934"
"20250511_172633","214044.65048909717"
"20250511_172640","194360.56689332772"
"20250511_172647","172230.462604945"
"20250511_172655","188427.85844117848"
"20250511_172702","188046.52237748183"
"20250511_172710","192860.6472022494"
"20250511_172718","190959.4903597781"
"20250511_172725","177774.91135205197"
"20250511_172733","204806.05131823654"
"20250511_172741","207351.3247156181"
"20250511_172747","182370.3704397883"
"20250511_172754","140667.95113416258"
"20250511_172802","183406.7157914768"
"20250511_172809","187131.97996897774"
"20250511_172817","163742.58754334407"
"20250511_172824","173657.11443003276"
"20250511_172832","195477.8134824684"
"20250511_172839","217138.45476191712"
"20250511_172846","185367.8587381091"
"20250511_172853","195127.29847802178"
"20250511_172900","190182.5459007523"
"20250511_172907","176446.70908293035"
"20250511_172915","168404.30381685487"
"20250511_172922","182663.5464653938"
"20250511_172930","195279.32455963918"
"20250511_172937","176299.43379296447"
"20250511_172944","191430.27974423204"
"20250511_172952","216399.52201041934"
"20250511_172958","189590.64880202073"
"20250511_173006","167626.78371232442"
"20250511_173013","177599.80137799078"
"20250511_173020","194142.29890772534"
"20250511_173027","164510.83738054938"
"20250511_173034","171275.7083124628"
"20250511_173042","191215.71472719315"
"20250511_173048","193795.24217797103"
"20250511_173054","184902.69720354525"
"20250511_173101","206258.55652096707"
"20250511_173108","187855.30105990224"
"20250511_173116","186537.9251307164"
"20250511_173123","177483.43437061837"
"20250511_173130","188682.40331084203"
"20250511_173138","156821.84333267712"
"20250511_173145","160079.13761337465"
"20250511_173153","208846.6615949777"
"20250511_173200","213006.44063313978"
"20250511_173207","199324.08191890616"
"20250511_173214","183510.92174845503"
"20250511_173222","192408.55601562758"
"20250511_173230","194985.6123077836"
"20250511_173237","175531.76088019082"
"20250511_173245","181815.50311085378"
