timestamp,value
"20250511_171826","2"
"20250511_171833","2"
"20250511_171840","2"
"20250511_171848","2"
"20250511_171856","2"
"20250511_171903","2"
"20250511_171910","2"
"20250511_171918","2"
"20250511_171925","2"
"20250511_171932","2"
"20250511_171940","2"
"20250511_171947","2"
"20250511_171954","2"
"20250511_172002","2"
"20250511_172009","2"
"20250511_172016","2"
"20250511_172024","2"
"20250511_172030","2"
"20250511_172039","2"
"20250511_172046","2"
"20250511_172053","2"
"20250511_172101","2"
"20250511_172108","2"
"20250511_172115","2"
"20250511_172123","2"
"20250511_172131","2"
"20250511_172138","2"
"20250511_172146","2"
"20250511_172153","2"
"20250511_172200","2"
"20250511_172207","2"
"20250511_172215","2"
"20250511_172222","2"
"20250511_172229","2"
"20250511_172236","2"
"20250511_172243","2"
"20250511_172250","2"
"20250511_172258","2"
"20250511_172305","2"
"20250511_172312","2"
"20250511_172319","2"
"20250511_172325","2"
"20250511_172333","2"
"20250511_172340","2"
"20250511_172347","2"
"20250511_172355","2"
"20250511_172402","2"
"20250511_172411","2"
"20250511_172419","2"
"20250511_172427","2"
"20250511_172433","2"
"20250511_172441","2"
"20250511_172448","2"
"20250511_172456","2"
"20250511_172503","2"
"20250511_172512","2"
"20250511_172519","2"
"20250511_172526","2"
"20250511_172533","2"
"20250511_172541","2"
"20250511_172548","2"
"20250511_172555","2"
"20250511_172602","2"
"20250511_172610","2"
"20250511_172617","2"
"20250511_172625","2"
"20250511_172633","2"
"20250511_172640","2"
"20250511_172647","2"
"20250511_172655","2"
"20250511_172702","2"
"20250511_172710","2"
"20250511_172718","2"
"20250511_172725","2"
"20250511_172733","2"
"20250511_172741","2"
"20250511_172747","2"
"20250511_172754","2"
"20250511_172802","2"
"20250511_172809","2"
"20250511_172817","2"
"20250511_172824","2"
"20250511_172832","2"
"20250511_172839","2"
"20250511_172846","2"
"20250511_172853","2"
"20250511_172900","2"
"20250511_172907","2"
"20250511_172915","2"
"20250511_172922","2"
"20250511_172930","2"
"20250511_172937","2"
"20250511_172944","2"
"20250511_172952","2"
"20250511_172958","2"
"20250511_173006","2"
"20250511_173013","2"
"20250511_173020","2"
"20250511_173027","2"
"20250511_173034","2"
"20250511_173042","2"
"20250511_173048","2"
"20250511_173054","2"
"20250511_173101","2"
"20250511_173108","2"
"20250511_173116","2"
"20250511_173123","2"
"20250511_173130","2"
"20250511_173138","2"
"20250511_173145","2"
"20250511_173153","2"
"20250511_173200","2"
"20250511_173207","2"
"20250511_173214","2"
"20250511_173222","2"
"20250511_173230","2"
"20250511_173237","2"
"20250511_173245","2"
"20250511_173252","2"
"20250511_173259","2"
"20250511_173307","2"
"20250511_173314","2"
"20250511_173321","2"
"20250511_173328","2"
"20250511_173336","2"
"20250511_173343","2"
"20250511_173351","2"
"20250511_173358","2"
"20250511_173405","2"
"20250511_173413","2"
"20250511_173420","2"
"20250511_173428","2"
"20250511_173435","2"
"20250511_173442","2"
"20250511_173449","2"
"20250511_173457","2"
"20250511_173504","2"
"20250511_173512","2"
"20250511_173519","2"
"20250511_173526","2"
"20250511_173533","2"
"20250511_173541","2"
"20250511_173548","2"
"20250511_173555","2"
"20250511_173602","2"
"20250511_173609","2"
"20250511_173616","2"
"20250511_173624","2"
"20250511_173631","2"
"20250511_173638","2"
"20250511_173646","2"
"20250511_173653","2"
"20250511_173659","2"
"20250511_173706","2"
"20250511_173712","2"
"20250511_173719","2"
"20250511_173725","2"
"20250511_173732","2"
"20250511_173739","2"
"20250511_173747","2"
"20250511_173754","2"
"20250511_173802","2"
"20250511_173809","2"
"20250511_173817","2"
"20250511_173824","2"
"20250511_173831","2"
"20250511_173838","2"
"20250511_173845","2"
"20250511_173852","2"
"20250511_173900","2"
"20250511_173908","2"
"20250511_173917","2"
"20250511_173924","2"
"20250511_173932","2"
"20250511_173939","2"
"20250511_173946","2"
"20250511_173954","2"
"20250511_174001","2"
"20250511_174010","2"
"20250511_174017","2"
"20250511_174024","2"
"20250511_174031","2"
"20250511_174038","2"
"20250511_174045","2"
"20250511_174053","2"
"20250511_174100","2"
"20250511_174108","2"
"20250511_174115","2"
"20250511_174122","2"
"20250511_174129","2"
"20250511_174137","2"
"20250511_174144","2"
"20250511_174151","2"
"20250511_174158","2"
"20250511_174205","2"
"20250511_174213","2"
"20250511_174220","2"
"20250511_174227","2"
"20250511_174234","2"
"20250511_174242","2"
"20250511_174250","2"
"20250511_174256","2"
"20250511_174303","2"
"20250511_174312","2"
"20250511_174319","2"
"20250511_174326","2"
"20250511_174332","2"
"20250511_174339","2"
"20250511_174345","2"
"20250511_174351","2"
"20250511_174358","2"
"20250511_174404","2"
"20250511_174411","2"
"20250511_174418","2"
"20250511_174426","2"
"20250511_174434","2"
"20250511_174442","2"
"20250511_174449","2"
"20250511_174457","2"
"20250511_174504","2"
"20250511_174512","2"
"20250511_174519","2"
"20250511_174526","2"
"20250511_174533","2"
"20250511_174541","2"
"20250511_174549","2"
"20250511_174556","2"
"20250511_174604","2"
"20250511_174612","2"
"20250511_174619","2"
"20250511_174626","2"
"20250511_174633","2"
"20250511_174641","2"
"20250511_174649","2"
"20250511_174657","2"
"20250511_174704","2"
"20250511_174713","2"
"20250511_174719","2"
"20250511_174726","2"
"20250511_174733","2"
"20250511_174741","2"
"20250511_174748","2"
"20250511_174755","2"
"20250511_174802","2"
"20250511_174809","2"
"20250511_174817","2"
