timestamp,value
"20250513_143804","11440128"
"20250513_143810","11440128"
"20250513_143816","40599552"
"20250513_143821","68734976"
"20250513_143828","68734976"
"20250513_143834","79204352"
"20250513_143840","79822848"
"20250513_143846","79822848"
"20250513_143852","80556032"
"20250513_143858","80556032"
"20250513_143905","81240064"
"20250513_143911","79785984"
"20250513_143917","79785984"
"20250513_143923","80822272"
"20250513_143930","80764928"
"20250513_143936","80764928"
"20250513_143942","80752640"
"20250513_143948","80752640"
"20250513_143954","79958016"
"20250513_144001","82849792"
"20250513_144007","82849792"
"20250513_144013","82059264"
"20250513_144019","82059264"
"20250513_144025","79142912"
"20250513_144032","79585280"
"20250513_144038","79585280"
"20250513_144045","80740352"
"20250513_144051","81354752"
"20250513_144058","81354752"
"20250513_144105","80580608"
"20250513_144111","80797696"
"20250513_144117","80797696"
"20250513_144124","73621504"
"20250513_144130","75177984"
"20250513_144136","75177984"
"20250513_144143","82567168"
"20250513_144150","82075648"
"20250513_144156","82075648"
"20250513_144202","80093184"
"20250513_144209","80093184"
"20250513_144215","79921152"
"20250513_144222","81747968"
"20250513_144228","81747968"
"20250513_144234","75059200"
"20250513_144241","79880192"
"20250513_144247","79880192"
"20250513_144253","79654912"
"20250513_144300","80265216"
"20250513_144306","80265216"
"20250513_144313","80556032"
"20250513_144319","80556032"
"20250513_144325","81002496"
"20250513_144332","79286272"
"20250513_144338","79286272"
"20250513_144344","74878976"
"20250513_144351","80203776"
"20250513_144358","80203776"
"20250513_144404","81346560"
"20250513_144410","80764928"
"20250513_144417","80764928"
"20250513_144424","81596416"
"20250513_144430","80891904"
"20250513_144437","80891904"
"20250513_144443","68943872"
"20250513_144449","68943872"
"20250513_144456","79474688"
"20250513_144502","80461824"
"20250513_144509","80461824"
"20250513_144515","80621568"
"20250513_144522","80437248"
"20250513_144528","80437248"
"20250513_144535","80830464"
"20250513_144541","79212544"
"20250513_144547","79212544"
"20250513_144553","76013568"
"20250513_144600","79765504"
"20250513_144606","79765504"
"20250513_144612","80003072"
"20250513_144619","80003072"
"20250513_144625","80822272"
"20250513_144632","80797696"
"20250513_144638","80797696"
"20250513_144644","81551360"
"20250513_144650","70647808"
"20250513_144657","70647808"
"20250513_144703","79585280"
"20250513_144710","78852096"
"20250513_144716","78852096"
"20250513_144722","80961536"
"20250513_144729","80961536"
"20250513_144735","80924672"
"20250513_144742","80556032"
"20250513_144749","80556032"
