timestamp,value
"20250513_143752","2"
"20250513_143758","2"
"20250513_143804","2"
"20250513_143810","2"
"20250513_143816","2"
"20250513_143821","2"
"20250513_143828","2"
"20250513_143834","2"
"20250513_143840","2"
"20250513_143846","2"
"20250513_143852","2"
"20250513_143858","2"
"20250513_143905","2"
"20250513_143911","2"
"20250513_143917","2"
"20250513_143923","2"
"20250513_143930","2"
"20250513_143936","2"
"20250513_143942","2"
"20250513_143948","2"
"20250513_143954","2"
"20250513_144001","2"
"20250513_144007","2"
"20250513_144013","2"
"20250513_144019","2"
"20250513_144025","2"
"20250513_144032","2"
"20250513_144038","2"
"20250513_144045","2"
"20250513_144051","2"
"20250513_144058","2"
"20250513_144105","2"
"20250513_144111","2"
"20250513_144117","2"
"20250513_144124","2"
"20250513_144130","2"
"20250513_144136","2"
"20250513_144143","2"
"20250513_144150","2"
"20250513_144156","2"
"20250513_144202","2"
"20250513_144209","2"
"20250513_144215","2"
"20250513_144222","2"
"20250513_144228","2"
"20250513_144234","2"
"20250513_144241","2"
"20250513_144247","2"
"20250513_144253","2"
"20250513_144300","2"
"20250513_144306","2"
"20250513_144313","2"
"20250513_144319","2"
"20250513_144325","2"
"20250513_144332","2"
"20250513_144338","2"
"20250513_144344","2"
"20250513_144351","2"
"20250513_144358","2"
"20250513_144404","2"
"20250513_144410","2"
"20250513_144417","2"
"20250513_144424","2"
"20250513_144430","2"
"20250513_144437","2"
"20250513_144443","2"
"20250513_144449","2"
"20250513_144456","2"
"20250513_144502","2"
"20250513_144509","2"
"20250513_144515","2"
"20250513_144522","2"
"20250513_144528","2"
"20250513_144535","2"
"20250513_144541","2"
"20250513_144547","2"
"20250513_144553","2"
"20250513_144600","2"
"20250513_144606","2"
"20250513_144612","2"
"20250513_144619","2"
"20250513_144625","2"
"20250513_144632","2"
"20250513_144638","2"
"20250513_144644","2"
"20250513_144650","2"
"20250513_144657","2"
"20250513_144703","2"
"20250513_144710","2"
"20250513_144716","2"
"20250513_144722","2"
"20250513_144729","2"
"20250513_144735","2"
"20250513_144742","2"
"20250513_144749","2"
