timestamp,value
"20250513_144752","268410880"
"20250513_144752","268587008"
"20250513_144759","270970880"
"20250513_144759","268587008"
"20250513_144805","270942208"
"20250513_144805","268587008"
"20250513_144812","270999552"
"20250513_144812","268587008"
"20250513_144820","270512128"
"20250513_144820","270512128"
"20250513_144828","269844480"
"20250513_144828","270512128"
"20250513_144836","270188544"
"20250513_144836","270512128"
"20250513_144843","272285696"
"20250513_144843","270512128"
"20250513_144851","270958592"
"20250513_144851","271187968"
"20250513_144859","270323712"
"20250513_144859","271187968"
"20250513_144906","270311424"
"20250513_144906","271187968"
"20250513_144914","270094336"
"20250513_144914","271187968"
"20250513_144921","271388672"
"20250513_144921","272080896"
"20250513_144929","270782464"
"20250513_144929","272080896"
"20250513_144937","270102528"
"20250513_144937","272080896"
"20250513_144944","271224832"
"20250513_144944","272080896"
"20250513_144953","268496896"
"20250513_144953","268972032"
"20250513_145001","270798848"
"20250513_145001","268972032"
"20250513_145008","270479360"
"20250513_145008","268972032"
"20250513_145016","268935168"
"20250513_145016","268972032"
"20250513_145023","271556608"
"20250513_145023","270114816"
"20250513_145031","270675968"
"20250513_145031","270114816"
"20250513_145038","270729216"
"20250513_145038","270114816"
"20250513_145046","268345344"
"20250513_145046","270114816"
"20250513_145054","271446016"
"20250513_145054","270835712"
"20250513_145102","271745024"
"20250513_145102","270835712"
"20250513_145110","270684160"
"20250513_145110","270835712"
"20250513_145117","271339520"
"20250513_145117","270790656"
"20250513_145125","271048704"
"20250513_145125","270790656"
"20250513_145132","270856192"
"20250513_145132","270790656"
"20250513_145140","270020608"
"20250513_145140","270790656"
"20250513_145147","271196160"
"20250513_145147","271581184"
"20250513_145155","271278080"
"20250513_145155","271581184"
"20250513_145202","271036416"
"20250513_145202","271581184"
"20250513_145210","271822848"
"20250513_145210","271581184"
"20250513_145217","270905344"
"20250513_145217","271581184"
"20250513_145224","270970880"
"20250513_145224","270897152"
"20250513_145232","271245312"
"20250513_145232","270897152"
"20250513_145239","270462976"
"20250513_145239","270897152"
"20250513_145247","271892480"
"20250513_145247","270909440"
"20250513_145255","269615104"
"20250513_145255","270909440"
"20250513_145303","269819904"
"20250513_145303","270909440"
"20250513_145311","271261696"
"20250513_145311","270909440"
"20250513_145318","271224832"
"20250513_145318","271486976"
"20250513_145325","271589376"
"20250513_145325","271486976"
"20250513_145333","271106048"
"20250513_145333","271486976"
"20250513_145340","271495168"
"20250513_145340","271486976"
"20250513_145348","271343616"
"20250513_145348","270245888"
"20250513_145355","271077376"
"20250513_145355","270245888"
"20250513_145403","271859712"
"20250513_145403","270245888"
"20250513_145410","271958016"
"20250513_145410","270245888"
"20250513_145416","270970880"
"20250513_145416","270680064"
"20250513_145424","271237120"
"20250513_145424","270680064"
"20250513_145432","273264640"
"20250513_145432","270680064"
"20250513_145440","269959168"
"20250513_145440","270680064"
"20250513_145447","271826944"
"20250513_145447","271904768"
"20250513_145455","271458304"
"20250513_145455","271904768"
"20250513_145503","269148160"
"20250513_145503","271904768"
"20250513_145511","273088512"
"20250513_145511","271904768"
"20250513_145519","270667776"
"20250513_145519","271417344"
"20250513_145527","271052800"
"20250513_145527","271417344"
"20250513_145533","271523840"
"20250513_145533","271417344"
"20250513_145541","271437824"
"20250513_145541","271417344"
