timestamp,value
"20250513_144752","2038443.4866266118"
"20250513_144759","1884997.394069582"
"20250513_144805","2105410.7654169165"
"20250513_144812","2153609.2795198504"
"20250513_144820","2172892.029694685"
"20250513_144828","1834871.8567504133"
"20250513_144836","2137720.617613395"
"20250513_144843","1949264.0230141075"
"20250513_144851","2264340.847977105"
"20250513_144859","1978953.7783430347"
"20250513_144906","2306199.676985247"
"20250513_144914","1990901.791014376"
"20250513_144921","2398031.6105066473"
"20250513_144929","2313480.0353535744"
"20250513_144937","2212765.8084043283"
"20250513_144944","2220108.550870212"
"20250513_144953","2384511.7729305467"
"20250513_145001","2030458.1118945105"
"20250513_145008","1938183.987865703"
"20250513_145016","2150514.9266696014"
"20250513_145023","2278833.1205676673"
"20250513_145031","2341472.018656699"
"20250513_145038","1974763.0486985336"
"20250513_145046","2142722.152776028"
"20250513_145054","2278441.845322994"
"20250513_145102","2222176.531107428"
"20250513_145110","2287085.6714062556"
"20250513_145117","2118057.007917251"
"20250513_145125","2261985.444995522"
"20250513_145132","2122844.578926964"
"20250513_145140","2460690.4699990903"
"20250513_145147","2272628.653577923"
"20250513_145155","2110393.527810254"
"20250513_145202","2471876.1330229454"
"20250513_145210","2497138.312859195"
"20250513_145217","2355802.564694959"
"20250513_145224","2492469.831019199"
"20250513_145232","2520084.947596583"
"20250513_145239","2277549.186253598"
"20250513_145247","2249470.1595250596"
"20250513_145255","2338092.7468031556"
"20250513_145303","2417555.3171942914"
"20250513_145311","2521721.111902277"
"20250513_145318","2061304.0697929198"
"20250513_145325","2279989.9233775632"
"20250513_145333","2495360.109083568"
"20250513_145340","2532412.524358182"
"20250513_145348","2061917.6400279081"
"20250513_145355","2616764.535952039"
"20250513_145403","2277971.494718002"
"20250513_145410","2539693.778183278"
"20250513_145416","2365027.494635155"
"20250513_145424","2483762.440275714"
"20250513_145432","2223396.506970785"
"20250513_145440","2494617.540352115"
"20250513_145447","2201079.0965163126"
"20250513_145455","2258602.6352562397"
"20250513_145503","2467757.7242479594"
"20250513_145511","2448176.4490616103"
"20250513_145519","2166615.804172542"
"20250513_145527","2313001.4405871565"
"20250513_145533","2299545.8264879594"
"20250513_145541","2420052.9960971544"
"20250513_145549","2636335.172358998"
"20250513_145558","2654983.745830145"
"20250513_145606","2251510.1641603597"
"20250513_145615","2277100.4315084172"
"20250513_145623","2106312.799459496"
"20250513_145631","2392465.202506705"
"20250513_145638","2194315.9803558174"
"20250513_145646","2282053.553156626"
"20250513_145653","2408197.76707293"
"20250513_145701","2642921.710076041"
"20250513_145709","2565382.939272672"
"20250513_145717","1847856.1004339848"
"20250513_145725","2419271.78360184"
"20250513_145732","2416282.894251497"
"20250513_145740","2448109.019375828"
"20250513_145747","2391857.146513843"
"20250513_145755","2313314.691783215"
"20250513_145802","2333245.405634662"
"20250513_145810","2651628.7896783035"
"20250513_145817","2424333.700198535"
"20250513_145825","2264122.0668501817"
"20250513_145832","2564378.7450950425"
"20250513_145839","2510642.213761433"
"20250513_145846","2485767.54526812"
"20250513_145853","2054585.6982666368"
"20250513_145900","2601804.7573939622"
"20250513_145908","2311103.036979879"
"20250513_145915","2360961.3229887695"
"20250513_145923","2525580.8863396924"
"20250513_145931","2464661.897216714"
"20250513_145939","2399876.180969535"
"20250513_145946","2298449.2566933916"
"20250513_145953","2433926.192449143"
"20250513_150001","2449307.4931679256"
"20250513_150008","2541336.404527685"
"20250513_150015","2444351.326328787"
"20250513_150021","2555955.379199935"
"20250513_150028","2305533.178788879"
"20250513_150035","2318486.6237554946"
"20250513_150042","2474354.553860731"
"20250513_150049","2089606.7704232032"
"20250513_150056","2358002.1335433363"
"20250513_150104","2312562.033477194"
"20250513_150111","2422307.5944232107"
"20250513_150118","2073800.0235613864"
"20250513_150126","1848851.2112205587"
"20250513_150133","2352705.6293263487"
"20250513_150141","2391829.6276348745"
"20250513_150149","2220183.1204387806"
"20250513_150156","2175453.1730523123"
"20250513_150203","2373530.5286490414"
"20250513_150210","2397342.6513990927"
"20250513_150218","2280129.80330176"
"20250513_150226","2348019.219242798"
"20250513_150234","2243996.089004103"
"20250513_150242","2249680.5222080406"
"20250513_150249","1894547.8094537063"
