timestamp,value
"20250513_150253","81076224"
"20250513_150303","80642048"
"20250513_150309","73838592"
"20250513_150317","73838592"
"20250513_150325","79192064"
"20250513_150331","79933440"
"20250513_150338","79933440"
"20250513_150344","80306176"
"20250513_150350","81051648"
"20250513_150357","81051648"
"20250513_150403","80920576"
"20250513_150410","69734400"
"20250513_150416","69734400"
"20250513_150422","78770176"
"20250513_150429","78770176"
"20250513_150435","80691200"
"20250513_150441","79757312"
"20250513_150448","79757312"
"20250513_150454","81149952"
"20250513_150500","81137664"
"20250513_150507","81137664"
"20250513_150513","80343040"
"20250513_150519","80343040"
"20250513_150526","74350592"
"20250513_150532","80556032"
"20250513_150539","80556032"
"20250513_150545","80412672"
"20250513_150551","80011264"
"20250513_150558","80011264"
"20250513_150604","81424384"
"20250513_150610","82456576"
"20250513_150617","82456576"
"20250513_150623","74584064"
"20250513_150629","74584064"
"20250513_150636","80015360"
"20250513_150642","80326656"
"20250513_150648","80326656"
"20250513_150655","79065088"
"20250513_150701","80625664"
"20250513_150708","80625664"
"20250513_150714","81686528"
"20250513_150720","83156992"
"20250513_150726","83156992"
"20250513_150733","75354112"
"20250513_150739","75354112"
"20250513_150746","80805888"
"20250513_150752","81440768"
