timestamp,value
"20250513_150253","133288796.94677074"
"20250513_150303","143620618.39002502"
"20250513_150309","156869210.83698392"
"20250513_150317","123296168.72793597"
"20250513_150325","147050431.98854"
"20250513_150331","162405851.84113035"
"20250513_150338","137262260.10497215"
"20250513_150344","175752075.7272187"
"20250513_150350","183630461.0290327"
"20250513_150357","167036500.66210103"
"20250513_150403","192159087.101578"
"20250513_150410","213306663.9718277"
"20250513_150416","206164653.68238753"
"20250513_150422","240524722.4285408"
"20250513_150429","204021571.35737813"
"20250513_150435","214224442.0269531"
"20250513_150441","231412509.23028055"
"20250513_150448","209564854.49944052"
"20250513_150454","206937463.16058752"
"20250513_150500","231740709.55163035"
"20250513_150507","210683450.5974053"
"20250513_150513","213548099.4981755"
"20250513_150519","222495851.18354186"
"20250513_150526","192343889.06402978"
"20250513_150532","216843165.74673966"
"20250513_150539","201424159.10665315"
"20250513_150545","196014369.14376724"
"20250513_150551","215446426.26773465"
"20250513_150558","189262091.1243846"
"20250513_150604","243257381.40468916"
"20250513_150610","229294600.20592213"
"20250513_150617","193516626.1374401"
"20250513_150623","224614442.76126757"
"20250513_150629","231711478.01469898"
"20250513_150636","224565592.36669928"
"20250513_150642","206932717.47663805"
"20250513_150648","195940063.07582617"
"20250513_150655","224468860.02270052"
"20250513_150701","226844335.71755832"
"20250513_150708","199953544.23703352"
"20250513_150714","210560782.6514751"
"20250513_150720","230749575.3344766"
"20250513_150726","206472108.4797373"
"20250513_150733","225143117.50199234"
"20250513_150739","233565966.734581"
"20250513_150746","216359374.73545355"
