timestamp,value
"20250513_150825","97812225.29378487"
"20250513_150831","84106902.52624986"
"20250513_150837","58677658.2150751"
"20250513_150843","71971059.90911475"
"20250513_150849","98700483.10573708"
"20250513_150856","112060489.81109457"
"20250513_150902","155123155.09093776"
"20250513_150908","157671669.96254644"
"20250513_150915","190006697.8973137"
"20250513_150921","231154394.89212564"
"20250513_150927","239475919.35689503"
"20250513_150933","199762234.59973213"
"20250513_150940","246266216.5513362"
"20250513_150946","244114045.8426488"
"20250513_150952","230357233.4643336"
"20250513_150959","197770069.77856693"
"20250513_151005","194313951.2964349"
"20250513_151011","226891486.67255813"
"20250513_151017","203551402.6034893"
"20250513_151024","191604865.59725186"
"20250513_151030","221357123.49218157"
"20250513_151036","209097077.29260957"
"20250513_151043","234491806.0558677"
"20250513_151049","244532664.6167265"
"20250513_151056","212228383.93631124"
"20250513_151102","225620534.93213272"
"20250513_151109","205014882.8812185"
"20250513_151115","240594135.11006176"
"20250513_151121","218560841.13118616"
"20250513_151128","179240543.5386678"
"20250513_151134","223228032.52258754"
"20250513_151141","189539942.05530897"
"20250513_151147","197382207.3686596"
"20250513_151153","190719400.76543555"
"20250513_151200","206552153.78889278"
"20250513_151206","194726381.0799858"
"20250513_151212","239259767.25709882"
"20250513_151219","235076019.2690447"
"20250513_151225","218658037.37766778"
"20250513_151232","215139141.31229478"
"20250513_151238","176405709.27043563"
"20250513_151245","191672509.62679973"
"20250513_151251","191852338.31798115"
"20250513_151257","179695010.21358654"
"20250513_151304","210688712.71343195"
"20250513_151310","221057087.70085913"
"20250513_151316","218894675.37966013"
"20250513_151323","204723936.4575722"
"20250513_151329","222450630.35235885"
"20250513_151335","202992626.52252364"
"20250513_151342","220135060.08482635"
"20250513_151348","169457403.59066576"
"20250513_151354","228838927.64063466"
"20250513_151400","219388080.58450657"
"20250513_151407","188100930.65909865"
"20250513_151413","213501639.3508844"
"20250513_151419","226791375.32561755"
"20250513_151426","217024970.887505"
"20250513_151432","241171095.54910946"
"20250513_151438","198755978.61978963"
"20250513_151445","213183010.8295803"
"20250513_151451","233927615.9169703"
"20250513_151457","217552484.50535375"
"20250513_151504","230026022.11084196"
"20250513_151510","226623696.72292545"
"20250513_151517","204957983.95149234"
"20250513_151523","215499086.45674425"
"20250513_151529","217202798.65662313"
"20250513_151536","194080814.20114204"
"20250513_151542","220777307.68295205"
"20250513_151548","199630758.40049058"
"20250513_151555","201429968.93746623"
"20250513_151601","224974207.90373585"
"20250513_151607","203323382.36756542"
"20250513_151614","220124472.11321622"
"20250513_151620","234400143.03447387"
"20250513_151626","189445814.75467035"
"20250513_151633","233712041.1829173"
"20250513_151639","204831025.87333137"
"20250513_151645","226539732.73653662"
"20250513_151651","221461763.84964317"
"20250513_151658","185126040.28945717"
"20250513_151704","208724128.71884447"
"20250513_151710","213636528.51978993"
"20250513_151716","190133001.82977244"
"20250513_151723","210918829.54542118"
"20250513_151729","223659403.72257927"
"20250513_151735","223659404.67978022"
"20250513_151741","238940920.2290136"
"20250513_151748","212120429.6984462"
"20250513_151754","189170522.17862618"
"20250513_151800","221972795.2654753"
"20250513_151807","188526340.73941943"
"20250513_151813","200620641.8949906"
"20250513_151819","224985443.7740585"
