timestamp,value
"20250513_150825","4906.313880162352"
"20250513_150831","4253.859585686403"
"20250513_150837","0"
"20250513_150843","226.2"
"20250513_150849","226.2"
"20250513_150856","1505.5409283023077"
"20250513_150902","1834.9141447981415"
"20250513_150908","1754.4500000000003"
"20250513_150915","2113.7250640365637"
"20250513_150921","2485.4776228197334"
"20250513_150927","2585.3108090927662"
"20250513_150933","2690.939817624302"
"20250513_150940","2158.058083649061"
"20250513_150946","2148.013602560484"
"20250513_150952","2128.0054505303005"
"20250513_150959","1963.2560363037453"
"20250513_151005","1660.4992177205395"
"20250513_151011","1923.2321024217922"
"20250513_151017","1771.138300031832"
"20250513_151024","2257.157175721154"
"20250513_151030","3409.539734827122"
"20250513_151036","3352.698609403913"
"20250513_151043","5327.406041342166"
"20250513_151049","5684.957365075179"
"20250513_151056","8040.225808243165"
"20250513_151102","8370.654900725334"
"20250513_151109","7799.38974395098"
"20250513_151115","9608.332530098232"
"20250513_151121","9985.393201880603"
"20250513_151128","9989.446691866295"
"20250513_151134","11795.190257807062"
"20250513_151141","12210.587141790787"
"20250513_151147","10839.780708839196"
"20250513_151153","11280.901034331451"
"20250513_151200","10616.468741315233"
"20250513_151206","12666.816429061113"
"20250513_151212","13149.808037745195"
"20250513_151219","12679.448584770718"
"20250513_151225","13573.270783302465"
"20250513_151232","14270.23345462546"
"20250513_151238","13015.173044151205"
"20250513_151245","11987.068759740127"
"20250513_151251","13750.029242672375"
"20250513_151257","11750.067989086718"
"20250513_151304","13884.140193381922"
"20250513_151310","14253.506157095031"
"20250513_151316","13109.092738319467"
"20250513_151323","13015.940623789036"
"20250513_151329","11885.137529677771"
"20250513_151335","12892.124668714845"
"20250513_151342","15155.256472177523"
"20250513_151348","12625.647016655905"
"20250513_151354","12373.533214803992"
"20250513_151400","13132.51537986751"
"20250513_151407","11417.804042374182"
"20250513_151413","14044.520293390817"
"20250513_151419","12437.00265672365"
"20250513_151426","11160.624131432214"
"20250513_151432","13663.342594352793"
"20250513_151438","11732.545414445152"
"20250513_151445","13526.73619991787"
"20250513_151451","14852.532855278523"
"20250513_151457","16593.16666316911"
"20250513_151504","15687.96863250159"
"20250513_151510","15654.224909452358"
"20250513_151517","13697.986895841173"
"20250513_151523","13931.565088241136"
"20250513_151529","11914.67681639746"
"20250513_151536","10500.372189582984"
"20250513_151542","11715.124488555022"
"20250513_151548","10000.43778733878"
"20250513_151555","12710.319668676613"
"20250513_151601","14420.383167227392"
"20250513_151607","14510.737605902072"
"20250513_151614","14668.837718687926"
"20250513_151620","16096.908715120706"
"20250513_151626","14543.382823033036"
"20250513_151633","14826.056902754353"
"20250513_151639","12925.881449663688"
"20250513_151645","10727.512193227709"
"20250513_151651","13519.650671935704"
"20250513_151658","12670.870693007855"
"20250513_151704","12571.41459922168"
"20250513_151710","12895.747521838359"
"20250513_151716","12868.000875700607"
"20250513_151723","14705.153796822811"
"20250513_151729","14869.881149906141"
"20250513_151735","14324.0564552097"
"20250513_151741","14509.10475631107"
"20250513_151748","12074.590750462812"
"20250513_151754","11440.044910665445"
"20250513_151800","13465.080487393994"
"20250513_151807","12939.898763110436"
"20250513_151813","12998.967623944764"
"20250513_151819","10768.683823368572"
