timestamp,value
"20250513_151825","4310424.649437376"
"20250513_151831","4431332.98374212"
"20250513_151838","3852252.5410272437"
"20250513_151846","3840198.859161812"
"20250513_151853","3781507.065726014"
"20250513_151901","4139852.315575131"
"20250513_151909","4524671.35298"
"20250513_151917","3806405.3767522075"
"20250513_151924","3851526.1211922998"
"20250513_151932","4640317.276603699"
"20250513_151939","5000408.147360729"
"20250513_151948","4703227.002638397"
"20250513_151955","4483629.310967627"
"20250513_152003","5013661.364459615"
"20250513_152011","4544114.75612301"
"20250513_152019","4960724.561132415"
"20250513_152026","4561234.518833308"
"20250513_152034","4693064.267687426"
"20250513_152042","5018316.28758854"
"20250513_152050","4873408.990254072"
"20250513_152058","4093823.912495523"
"20250513_152106","4177477.6978072505"
"20250513_152113","4835801.163522771"
"20250513_152121","4276739.277177053"
"20250513_152128","5054634.101009609"
"20250513_152136","5147084.055401617"
"20250513_152143","4708320.628484343"
"20250513_152151","4894565.740683358"
"20250513_152158","4238027.792202808"
"20250513_152205","4540748.146161067"
"20250513_152213","3786944.191441753"
"20250513_152221","4889948.383152252"
"20250513_152228","4405416.407179318"
"20250513_152234","4476393.282536014"
"20250513_152242","4690484.174640111"
"20250513_152249","5253340.346393346"
"20250513_152256","4535938.920950872"
"20250513_152303","4659089.260518989"
"20250513_152310","5020220.7542423075"
"20250513_152317","4283783.333559497"
"20250513_152324","4289256.364808276"
"20250513_152332","4384570.985034723"
"20250513_152339","5154291.796097308"
"20250513_152345","5241963.04327988"
"20250513_152353","5236312.365694269"
"20250513_152400","5120301.149789802"
"20250513_152407","4449628.556583443"
"20250513_152414","4722990.582022494"
"20250513_152421","4539963.095871807"
"20250513_152429","5018722.515876667"
"20250513_152436","4796841.702068151"
"20250513_152443","5037333.703178328"
"20250513_152451","5287231.889401609"
"20250513_152458","4689798.747989689"
"20250513_152505","4632090.019659288"
"20250513_152513","4911188.533648572"
"20250513_152519","4875541.428970598"
"20250513_152527","4094464.6380480365"
"20250513_152534","4899053.6203403585"
"20250513_152541","4172716.4683287586"
"20250513_152549","5245301.307300311"
"20250513_152556","4846105.992385179"
"20250513_152604","5098378.679187639"
"20250513_152611","5095808.937467984"
"20250513_152619","5056154.27300792"
"20250513_152626","4693456.401333628"
"20250513_152634","3887506.177191855"
"20250513_152642","4597127.399406723"
"20250513_152650","5037895.015088268"
"20250513_152657","4688831.697597083"
"20250513_152704","4596503.765059125"
"20250513_152711","4674807.73172475"
"20250513_152719","5041934.733244056"
"20250513_152726","4429602.814752884"
"20250513_152734","4577668.683617969"
"20250513_152742","4458005.628897374"
"20250513_152750","4728068.665807112"
"20250513_152757","4011524.641339775"
"20250513_152804","5074488.488099768"
"20250513_152811","4825972.273600761"
"20250513_152819","4883369.918446561"
"20250513_152826","4503819.895934108"
"20250513_152833","4946714.276760969"
"20250513_152840","4048191.1990962895"
"20250513_152848","4575144.648989626"
"20250513_152855","4433229.466444653"
"20250513_152902","4825628.119452219"
"20250513_152909","5201848.11424685"
"20250513_152916","4883477.492546908"
"20250513_152923","4500179.694814231"
"20250513_152930","4987775.0265130475"
"20250513_152938","4351248.853466719"
"20250513_152945","4928481.014109153"
"20250513_152952","4707544.1468903925"
"20250513_152959","4940577.828537075"
"20250513_153007","4328715.970783208"
"20250513_153013","5084351.090749625"
"20250513_153020","4925859.598382338"
"20250513_153027","4769162.690893275"
"20250513_153035","4833520.469903434"
"20250513_153041","4935644.639286684"
"20250513_153048","4314504.03730982"
"20250513_153055","4491970.907728541"
"20250513_153103","4395546.028277567"
"20250513_153111","4907763.984787468"
"20250513_153118","4139436.768055223"
"20250513_153125","4226148.114796626"
"20250513_153132","4073530.2086038347"
"20250513_153140","4801710.042498943"
"20250513_153147","4829530.113215354"
"20250513_153155","4718241.035138969"
"20250513_153202","5018810.442583738"
"20250513_153209","5234662.448206046"
"20250513_153216","4606322.357854644"
"20250513_153223","4621883.459732956"
"20250513_153230","5064233.4057910275"
"20250513_153239","5028594.040745389"
"20250513_153246","4391800.466521827"
"20250513_153254","4677456.765530059"
"20250513_153302","4875620.17481196"
"20250513_153310","5158154.737805712"
"20250513_153317","4297119.822873225"
