timestamp,value
"20250513_154858","2256457.056673692"
"20250513_154904","2116474.17086312"
"20250513_154911","2394475.576193226"
"20250513_154919","2325065.083796591"
"20250513_154926","2090769.3360000479"
"20250513_154933","2269738.5895049246"
"20250513_154940","2383615.7436280465"
"20250513_154947","1978257.252030491"
"20250513_154954","2361786.005171992"
"20250513_155001","2256038.894774987"
"20250513_155009","2596075.7028165157"
"20250513_155016","2455151.028833733"
"20250513_155023","2519021.757641895"
"20250513_155030","2505596.5580817773"
"20250513_155037","2131883.0367759713"
"20250513_155044","2265733.4583814293"
"20250513_155052","2069531.715430419"
"20250513_155059","2365074.3649901124"
"20250513_155107","2097028.270150642"
"20250513_155115","2428072.3359884587"
"20250513_155121","2383788.6898832866"
"20250513_155129","2343463.3231062097"
"20250513_155136","2058286.4710153737"
"20250513_155143","2116837.9840017557"
"20250513_155151","2297713.6528726476"
"20250513_155158","1847662.6269528992"
"20250513_155205","2084345.6084084527"
"20250513_155212","2408541.1647059373"
"20250513_155219","2513624.999227619"
"20250513_155227","2262913.9762060805"
"20250513_155233","2361791.8788386555"
"20250513_155241","2243882.8039223417"
"20250513_155248","2067349.5105273956"
"20250513_155255","2461547.189938647"
"20250513_155302","2587514.283012167"
"20250513_155309","2629461.147133301"
"20250513_155316","2577132.5505215297"
"20250513_155323","2590645.5360521935"
"20250513_155330","2600235.398334413"
"20250513_155337","2152004.2958684987"
"20250513_155344","2514451.5509982477"
"20250513_155351","2627512.252946561"
"20250513_155358","2327086.063752558"
"20250513_155405","2250581.880336289"
"20250513_155412","2658916.0751531688"
"20250513_155419","2746027.032848037"
"20250513_155426","2787590.980427531"
"20250513_155433","2441415.599358307"
"20250513_155440","2638031.879007455"
"20250513_155447","2345864.0419367044"
"20250513_155454","2100374.507794857"
"20250513_155501","2493838.8920862335"
"20250513_155509","2114714.1964071607"
"20250513_155515","2398924.057325015"
"20250513_155522","2586785.5328630917"
"20250513_155529","2714833.7679279596"
"20250513_155536","2400768.33312116"
"20250513_155543","2517236.065690706"
"20250513_155551","2543890.1188421645"
"20250513_155558","2116398.988395306"
"20250513_155605","2034250.9392519125"
"20250513_155612","2304184.350522228"
"20250513_155619","2569398.100739892"
"20250513_155626","2439715.763809031"
"20250513_155633","2717552.942951266"
"20250513_155640","2649468.439514111"
"20250513_155647","2234878.1658704993"
"20250513_155655","2233009.1259144573"
"20250513_155703","2520462.1931128055"
"20250513_155710","2403395.523472599"
"20250513_155717","2169366.1422052444"
"20250513_155724","2376660.491951502"
"20250513_155731","2489919.0395939606"
"20250513_155738","2350680.1912800553"
"20250513_155745","2377823.6429245165"
"20250513_155753","2494273.2740202304"
"20250513_155800","2483616.5805245275"
"20250513_155808","2207643.652118175"
"20250513_155815","2182229.9348588963"
"20250513_155822","2447915.3436673246"
"20250513_155829","2512644.5155568994"
"20250513_155836","2257301.428985913"
"20250513_155843","2506495.8244843595"
"20250513_155849","2604767.812030719"
"20250513_155856","2183454.5636027837"
"20250513_155903","2597321.2411982724"
"20250513_155910","2601479.3677077973"
"20250513_155917","2444436.1833492345"
"20250513_155924","2493016.8835890214"
"20250513_155931","2646135.9297059667"
"20250513_155938","2492086.5794274393"
"20250513_155945","2426875.4241431276"
"20250513_155952","2687335.6487818332"
"20250513_155959","2641926.8145169085"
"20250513_160006","2490164.0324318097"
"20250513_160013","2277489.418001747"
"20250513_160020","2712488.7933233962"
"20250513_160027","2436681.5907000205"
"20250513_160034","2657353.378019857"
"20250513_160042","2714881.661015596"
"20250513_160048","2705491.228585009"
"20250513_160057","2465554.8579518916"
"20250513_160104","2226831.269805063"
"20250513_160111","2464546.8082973477"
"20250513_160117","2089960.7634849385"
"20250513_160123","2594659.5815388644"
"20250513_160130","2598028.3515253486"
"20250513_160137","2386401.331168102"
"20250513_160144","2534878.9714210397"
"20250513_160150","2694626.7918372257"
"20250513_160158","2225553.8560641417"
"20250513_160205","2109430.975336044"
"20250513_160212","2497360.89301059"
"20250513_160219","2537760.877043832"
"20250513_160227","2191260.390626015"
"20250513_160234","2311711.4887442575"
"20250513_160241","2605783.778560394"
"20250513_160248","2361796.8239192734"
"20250513_160255","2378430.6198983565"
"20250513_160302","2592543.9629639494"
"20250513_160309","2585897.9249718064"
"20250513_160317","2017347.8007103917"
"20250513_160325","1945749.7688893438"
"20250513_160332","2471892.5525699253"
"20250513_160339","2459825.4884043457"
"20250513_160347","2277930.2578107365"
"20250513_160354","2606365.375695644"
